week,tank,temp,species,trophic,taxon,number,mean.length,sd.length
2,15,25.9,Simocephalus,herbivore,cladoceran,22,59.95454545,29.66234951
2,16,26.8,Copepod,omnivore,copepod,5,35.2,15.07315495
2,16,26.8,nauplii,omnivore,copepod,62,8.44,1.980740602
2,16,26.8,Simocephalus,herbivore,cladoceran,16,80.1875,41.2750429
2,20,22.1,Copepod,omnivore,copepod,4,57.25,28.58175409
2,20,22.1,nauplii,omnivore,copepod,400,8.6,1.892969449
2,20,22.1,Simocephalus,herbivore,cladoceran,11,43.09090909,15.98408299
2,25,22.9,Copepod,omnivore,copepod,3,36,18.1934054
2,25,22.9,nauplii,omnivore,copepod,454,7.6,1.08012345
2,25,22.9,Simocephalus,herbivore,cladoceran,4,80,43.38970692
2,26,20.5,Copepod,omnivore,copepod,2,89,1.414213562
2,26,20.5,Daphnia,herbivore,cladoceran,3,79.33333333,44.28694315
2,26,20.5,K. cochlearis,detritovore,rotifer,28,4.68,0.476095229
2,26,20.5,nauplii,omnivore,copepod,549,7.84,1.572683482
2,26,20.5,SIM1,herbivore,cladoceran,1,21,
2,26,20.5,Simocephalus,herbivore,cladoceran,9,34.44444444,5.939509894
2,28,26.3,Copepod,omnivore,copepod,9,31.55555556,15.05083977
2,28,26.3,nauplii,omnivore,copepod,229,8.96,2.353720459
2,28,26.3,Scapholeberis,herbivore,cladoceran,1,24,
2,28,26.3,Simocephalus,herbivore,cladoceran,207,62.04,26.07917432
2,29,25.4,Copepod,omnivore,copepod,7,25.42857143,3.207134903
2,29,25.4,nauplii,omnivore,copepod,270,8.8,2.309401077
2,29,25.4,Scapholeberis,herbivore,cladoceran,14,27.35714286,2.437121343
2,29,25.4,Simocephalus,herbivore,cladoceran,65,69.04,32.12797327
4,2,21.7,Copepod,omnivore,copepod,680,27.5,7.48
4,2,21.7,nauplii,omnivore,copepod,234,6.56,1.36
4,2,21.7,Simocephalus,herbivore,cladoceran,100,59,21
4,3,27.6,C. sphaericus,herbivore,cladoceran,4,15.5,1.73
4,3,27.6,Copepod,omnivore,copepod,8,31,18
4,3,27.6,K. cochlearis,detritovore,rotifer,3,5,0
4,3,27.6,Monostyla,detritovore,rotifer,7,15.8,2.41
4,3,27.6,nauplii,omnivore,copepod,570,7.6,1.04
4,3,27.6,Simocephalus,herbivore,cladoceran,26,56.12,13.1
4,4,26.7,C. sphaericus,herbivore,cladoceran,1,17,
4,4,26.7,Copepod,omnivore,copepod,2,39.5,7.78
4,4,26.7,K. cochlearis,detritovore,rotifer,1,6,
4,4,26.7,nauplii,omnivore,copepod,745,7.68,1.07
4,4,26.7,Simocephalus,herbivore,cladoceran,34,72.76,17.11
4,7,22.2,Copepod,omnivore,copepod,7,44.286,15.29
4,7,22.2,Daphnia,herbivore,cladoceran,11,85.8,25.35
4,7,22.2,nauplii,omnivore,copepod,311,7.32,1.03
4,7,22.2,Simocephalus,herbivore,cladoceran,57,71.2,12.8
4,8,29.8,C. sphaericus,herbivore,cladoceran,49,19.56,4.33
4,8,29.8,Copepod,omnivore,copepod,3,42.3,37
4,8,29.8,K. cochlearis,detritovore,rotifer,10,5.9,0.57
4,8,29.8,K. quadrata,detritovore,rotifer,1,9,
4,8,29.8,Monostyla,detritovore,rotifer,36,5.76,1.01
4,8,29.8,nauplii,omnivore,copepod,354,6.9,0.86
4,8,29.8,Simocephalus,herbivore,cladoceran,69,70,25.66
4,10,28.7,C. sphaericus,herbivore,cladoceran,25,20.8,3.96
4,10,28.7,Copepod,omnivore,copepod,4,32.5,23.69
4,10,28.7,K. cochlearis,detritovore,rotifer,1,6,
4,10,28.7,Monostyla,detritovore,rotifer,59,6,0.71
4,10,28.7,nauplii,omnivore,copepod,483,7,0.91
4,10,28.7,Simocephalus,herbivore,cladoceran,133,74.12,28.04
4,15,27,C. sphaericus,herbivore,cladoceran,5,20,4.84
4,15,27,K. cochlearis,detritovore,rotifer,1,6,
4,15,27,Monostyla,detritovore,rotifer,38,4.16,0.37
4,15,27,nauplii,omnivore,copepod,351,7.16,1.07
4,15,27,Simocephalus,herbivore,cladoceran,21,82.571,17.86
4,16,28.4,C. sphaericus,herbivore,cladoceran,6,20.17,4.96
4,16,28.4,Copepod,omnivore,copepod,1,17,
4,16,28.4,K. cochlearis,detritovore,rotifer,1,5,
4,16,28.4,Monostyla,detritovore,rotifer,51,3.76,0.43
4,16,28.4,nauplii,omnivore,copepod,371,7.48,1
4,16,28.4,Simocephalus,herbivore,cladoceran,15,69.4,28.7
4,20,23.8,C. sphaericus,herbivore,cladoceran,8,21.5,5.37
4,20,23.8,Monostyla,detritovore,rotifer,16,4,0
4,20,23.8,nauplii,omnivore,copepod,916,7.4,0.91
4,20,23.8,Scapholeberis,herbivore,cladoceran,2,40,0
4,20,23.8,Simocephalus,herbivore,cladoceran,15,74.73,20
4,25,25.3,C. sphaericus,herbivore,cladoceran,6,20,3.22
4,25,25.3,Monostyla,detritovore,rotifer,7,4,0
4,25,25.3,nauplii,omnivore,copepod,232,7.16,0.74
4,25,25.3,Scapholeberis,herbivore,cladoceran,17,25.18,8.32
4,25,25.3,Simocephalus,herbivore,cladoceran,14,89.3,7.74
4,26,20.5,C. sphaericus,herbivore,cladoceran,2,16,1.4
4,26,20.5,Copepod,omnivore,copepod,11,40.6,18.4
4,26,20.5,Daphnia,herbivore,cladoceran,3,68.3,21.5
4,26,20.5,Monostyla,detritovore,rotifer,4,4.25,0.5
4,26,20.5,nauplii,omnivore,copepod,254,7.2,0.83
4,26,20.5,Scapholeberis,herbivore,cladoceran,1,18,
4,26,20.5,Simocephalus,herbivore,cladoceran,13,70.35,25.2
4,28,30.1,C. sphaericus,herbivore,cladoceran,24,18.4,4.48
4,28,30.1,Copepod,omnivore,copepod,2,25,7.1
4,28,30.1,Monostyla,detritovore,rotifer,61,4.24,0.5
4,28,30.1,nauplii,omnivore,copepod,107,9.4,14.1
4,28,30.1,Scapholeberis,herbivore,cladoceran,13,25.3,6.98
4,28,30.1,Simocephalus,herbivore,cladoceran,11,67.5,21.6
4,29,27.1,C. sphaericus,herbivore,cladoceran,11,19.1,3.39
4,29,27.1,Copepod,omnivore,copepod,2,35.5,23.3
4,29,27.1,Monostyla,detritovore,rotifer,18,4.167,0.38
4,29,27.1,nauplii,omnivore,copepod,764,7.4,0.87
4,29,27.1,Scapholeberis,herbivore,cladoceran,1,27,
4,29,27.1,Simocephalus,herbivore,cladoceran,19,75.42,18.7
6,2,20.4,C. sphaericus,herbivore,cladoceran,66,21.7,4.29
6,2,20.4,Copepod,omnivore,copepod,5,53.8,31.03
6,2,20.4,Monostyla,detritovore,rotifer,30,4.67,0.62
6,2,20.4,nauplii,omnivore,copepod,1225,7.92,1.68
6,2,20.4,Simocephalus,herbivore,cladoceran,2,84.5,2.12
6,3,27.7,C. sphaericus,herbivore,cladoceran,82,20.2,4
6,3,27.7,Chydorus spp.,herbivore,cladoceran,9,15,2.9
6,3,27.7,Copepod,omnivore,copepod,1,16,
6,3,27.7,K. cochlearis,detritovore,rotifer,4,4.25,0.5
6,3,27.7,Monostyla,detritovore,rotifer,43,4.8,0.44
6,3,27.7,nauplii,omnivore,copepod,252,7.4,1.29
6,3,27.7,Simocephalus,herbivore,cladoceran,2,43.5,6.36
6,4,25.4,C. sphaericus,herbivore,cladoceran,33,21.7,4.13
6,4,25.4,Chydorus spp.,herbivore,cladoceran,4,16.8,2.6
6,4,25.4,Copepod,omnivore,copepod,60,23.9,7.6
6,4,25.4,Monostyla,detritovore,rotifer,202,4.8,0.62
6,4,25.4,nauplii,omnivore,copepod,2178,8,1.73
6,4,25.4,Simocephalus,herbivore,cladoceran,4,48,12.19
6,7,21,C. sphaericus,herbivore,cladoceran,97,21.7,4.1
6,7,21,Copepod,omnivore,copepod,2,23,4.24
6,7,21,Monostyla,detritovore,rotifer,1,5,
6,7,21,nauplii,omnivore,copepod,71,7.2,1.25
6,8,29.6,C. sphaericus,herbivore,cladoceran,572,18.6,3.97
6,8,29.6,Chydorus spp.,herbivore,cladoceran,5,15.6,2.3
6,8,29.6,Copepod,omnivore,copepod,1,19,
6,8,29.6,nauplii,omnivore,copepod,204,6.5,0.8
6,8,29.6,Simocephalus,herbivore,cladoceran,6,60,16.98
6,10,29.3,C. sphaericus,herbivore,cladoceran,456,19,4.15
6,10,29.3,Chydorus spp.,herbivore,cladoceran,13,14.1,1.19
6,10,29.3,Copepod,omnivore,copepod,16,29.3,13.97
6,10,29.3,K. cochlearis,detritovore,rotifer,1,5,
6,10,29.3,Monostyla,detritovore,rotifer,10,5,0
6,10,29.3,nauplii,omnivore,copepod,516,7,1.21
6,10,29.3,Scapholeberis,herbivore,cladoceran,2,28.5,0.71
6,10,29.3,Simocephalus,herbivore,cladoceran,3,56,24.58
6,15,27,C. sphaericus,herbivore,cladoceran,484,19.76,3.89
6,15,27,Chydorus spp.,herbivore,cladoceran,1,15,
6,15,27,Copepod,omnivore,copepod,9,22.22,6.9
6,15,27,Monostyla,detritovore,rotifer,385,5,0.29
6,15,27,nauplii,omnivore,copepod,177,7.76,1.3
6,16,28.5,C. sphaericus,herbivore,cladoceran,429,20.96,3.83
6,16,28.5,Chydorus spp.,herbivore,cladoceran,12,14.8,1.75
6,16,28.5,Copepod,omnivore,copepod,4,29.75,13.8
6,16,28.5,Monostyla,detritovore,rotifer,479,4.88,0.33
6,16,28.5,nauplii,omnivore,copepod,330,7.2,0.87
6,16,28.5,Simocephalus,herbivore,cladoceran,1,16,
6,20,23.3,C. sphaericus,herbivore,cladoceran,364,20.6,4.19
6,20,23.3,Copepod,omnivore,copepod,145,23,2.78
6,20,23.3,Monostyla,detritovore,rotifer,44,4.7,0.54
6,20,23.3,nauplii,omnivore,copepod,1075,8,2.26
6,20,23.3,Scapholeberis,herbivore,cladoceran,1,39,
6,20,23.3,Simocephalus,herbivore,cladoceran,2,72,33.94
6,25,24.6,Copepod,herbivore,cladoceran,24,26.5,20.03258216
6,25,24.6,nauplii,herbivore,cladoceran,1114,7.48,1.530795
6,25,24.6,Simocephalus,omnivore,copepod,5,65.2,35.32279717
6,25,24.6,C. sphaericus,detritovore,rotifer,724,18.12,3.032051011
6,25,24.6,Scapholeberis,omnivore,copepod,37,24.32,6.335876682
6,25,24.6,Monostyla,herbivore,cladoceran,219,4.76,0.435889894
6,25,24.6,Chydorus,herbivore,cladoceran,7,16.28571429,2.288688541
6,26,19.8,C. sphaericus,herbivore,cladoceran,52,18.08,3.13
6,26,19.8,Copepod,omnivore,copepod,117,29.3,11.83
6,26,19.8,Daphnia,herbivore,cladoceran,1,75,
6,26,19.8,Monostyla,detritovore,rotifer,20,4.45,0.51
6,26,19.8,nauplii,omnivore,copepod,256,8.28,2.41
6,26,19.8,Scapholeberis,herbivore,cladoceran,1,15,
6,28,30.4,C. sphaericus,herbivore,cladoceran,414,17.8,4.65
6,28,30.4,Chydorus spp.,herbivore,cladoceran,21,16.81,2.62
6,28,30.4,Copepod,omnivore,copepod,12,22.7,8
6,28,30.4,Monostyla,detritovore,rotifer,359,4.88,0.44
6,28,30.4,nauplii,omnivore,copepod,196,6.96,1.65
6,28,30.4,Scapholeberis,herbivore,cladoceran,23,23.26,5.52
6,28,30.4,Simocephalus,herbivore,cladoceran,5,61.6,37.5
6,29,26.2,C. sphaericus,herbivore,cladoceran,184,16.76,2.65
6,29,26.2,Chydorus spp.,herbivore,cladoceran,10,15,2.79
6,29,26.2,Copepod,omnivore,copepod,33,20.76,3.55
6,29,26.2,Monostyla,detritovore,rotifer,552,4.88,0.44
6,29,26.2,nauplii,omnivore,copepod,3022,7.2,1.04
6,29,26.2,Scapholeberis,herbivore,cladoceran,4,23.75,4.86
6,29,26.2,Simocephalus,herbivore,cladoceran,1,51,
8,3,28.9,C. sphaericus,herbivore,cladoceran,80,19.8,3.547299442
8,3,28.9,Chydorus spp.,herbivore,cladoceran,63,14.88,2.818391977
8,3,28.9,Copepod,omnivore,copepod,2,45,35.35533906
8,3,28.9,K. cochlearis,detritovore,rotifer,3,4.7,0.57
8,3,28.9,Monostyla,detritovore,rotifer,2,5,0
8,3,28.9,nauplii,omnivore,copepod,211,7.48,1.584297952
8,3,28.9,Podocopida,,ostracod,2,19,7.071067812
8,3,28.9,Simocephalus,herbivore,cladoceran,5,64.2,21.39392437
8,4,27.6,C. sphaericus,herbivore,cladoceran,21,20.381,4.52
8,4,27.6,Chydorus spp.,herbivore,cladoceran,5,18.6,3.13
8,4,27.6,Copepod,omnivore,copepod,12,32.83333333,11.48780645
8,4,27.6,nauplii,omnivore,copepod,620,7.4,1.354006401
8,4,27.6,Scapholeberis,herbivore,cladoceran,1,19,
8,7,23.1,C. sphaericus,herbivore,cladoceran,250,18.8,3.278719262
8,7,23.1,Copepod,omnivore,copepod,9,22.22222222,7.241853661
8,7,23.1,Monostyla,detritovore,rotifer,1,5,
8,7,23.1,nauplii,omnivore,copepod,495,7.8,1.224744871
8,8,31.5,C. sphaericus,herbivore,cladoceran,105,18.92,3.353108011
8,8,31.5,Chydorus spp.,herbivore,cladoceran,80,15.96,2.637549368
8,8,31.5,Monostyla,detritovore,rotifer,4,4.25,0.5
8,8,31.5,nauplii,omnivore,copepod,22,6.54,0.96
8,10,30.2,C. sphaericus,herbivore,cladoceran,135,22.84,2.808914381
8,10,30.2,Chydorus spp.,herbivore,cladoceran,12,16.75,2.22
8,10,30.2,Copepod,omnivore,copepod,6,43.3,27.8
8,10,30.2,MON1,detritovore,rotifer,1,17,
8,10,30.2,nauplii,omnivore,copepod,252,6.88,0.665832812
8,10,30.2,Scapholeberis,herbivore,cladoceran,1,23,
8,10,30.2,Simocephalus,herbivore,cladoceran,1,45,
8,15,28,C. sphaericus,herbivore,cladoceran,232,20.36,4.009156187
8,15,28,Copepod,omnivore,copepod,16,30.37,8.91
8,15,28,Monostyla,detritovore,rotifer,65,4.96,0.351188458
8,15,28,nauplii,omnivore,copepod,58,8.56,2.36
8,15,28,Scapholeberis,herbivore,cladoceran,12,21.75,5.86
8,15,28,Simocephalus,herbivore,cladoceran,8,57.37,26.89
8,15,28,K. cochlearis,detritovore,rotifer,2,4.5,0.71
8,16,28.7,C. sphaericus,herbivore,cladoceran,489,20.64,3.534119409
8,16,28.7,Copepod,omnivore,copepod,8,25.75,16.19
8,16,28.7,Monostyla,detritovore,rotifer,99,4.8,0.40824829
8,16,28.7,nauplii,omnivore,copepod,131,7.32,1.281925635
8,16,28.7,Simocephalus,herbivore,cladoceran,6,54.3,23.1
8,16,28.7,Chydorus spp.,herbivore,cladoceran,3,17.33,2.08
8,20,25.2,C. sphaericus,herbivore,cladoceran,73,20.56,3.775800136
8,20,25.2,Copepod,omnivore,copepod,16,32.19,16.47
8,20,25.2,Monostyla,detritovore,rotifer,14,4.78,0.43
8,20,25.2,nauplii,omnivore,copepod,345,7.48,1.96
8,20,25.2,Scapholeberis,herbivore,cladoceran,25,27.2,5.95
8,20,25.2,Simocephalus,herbivore,cladoceran,5,47.2,16.59
8,25,26.5,C. sphaericus,herbivore,cladoceran,151,21.16,2.656438719
8,25,26.5,Chydorus spp.,herbivore,cladoceran,3,13,1
8,25,26.5,Copepod,omnivore,copepod,5,42,14.97
8,25,26.5,Monostyla,detritovore,rotifer,16,4.8,0.4
8,25,26.5,nauplii,omnivore,copepod,327,7.28,1.51
8,25,26.5,Scapholeberis,herbivore,cladoceran,18,26.167,7.99
8,25,26.5,Simocephalus,herbivore,cladoceran,3,59.33333333,13.57694124
8,26,21.8,C. sphaericus,herbivore,cladoceran,30,20.64,4.231626953
8,26,21.8,Copepod,omnivore,copepod,53,32.52,12.13850622
8,26,21.8,Monostyla,detritovore,rotifer,12,4.9,1.16
8,26,21.8,nauplii,omnivore,copepod,336,7.24,1.690167645
8,26,21.8,Scapholeberis,herbivore,cladoceran,2,22.5,7.78
8,28,31.1,C. sphaericus,herbivore,cladoceran,81,21.28,4.695032836
8,28,31.1,Chydorus spp.,herbivore,cladoceran,12,16.08333333,1.975225342
8,28,31.1,Copepod,omnivore,copepod,2,21,5.656854249
8,28,31.1,Monostyla,detritovore,rotifer,7,4.857,0.38
8,28,31.1,nauplii,omnivore,copepod,38,6.4,0.71
8,28,31.1,Scapholeberis,herbivore,cladoceran,142,28.64,4.829423706
8,28,31.1,Simocephalus,herbivore,cladoceran,1,37,
8,28,31.1,K. cochlearis,detritovore,rotifer,1,5,
8,29,28.6,C. sphaericus,herbivore,cladoceran,59,18.44,3.123566338
8,29,28.6,Copepod,omnivore,copepod,5,27.2,9.98
8,29,28.6,Monostyla,detritovore,rotifer,1,4,
8,29,28.6,nauplii,omnivore,copepod,347,6.64,0.637704216
8,29,28.6,Scapholeberis,herbivore,cladoceran,47,23.28,7.260165287
8,29,28.6,Simocephalus,herbivore,cladoceran,4,75,32.03
